Game 01 (01-21 ... Class I: Each player has a dominating strategy.)
4,4 3,3
2,2 1,1

Game 02
4,4 3,3
1,2 2,1

Game 03
4,4 3,2
2,3 1,1

Game 04
4,4 3,2
1,3 2,1

Game 05
4,4 3,1
1,3 2,2

Game 06
4,4 2,3
3,2 1,1

Game 07
3,3 4,2
2,4 1,1

Game 08
3,3 4,2
1,4 2,1

Game 09 *The Gift of the Magi*
3,3 4,1
1,4 2,2

Game 10
2,3 4,2
1,4 3,1 

Game 11
2,3 4,1
1,4 3,2

Game 12 *Prisoners' Dilemma*
2,2 4,1
1,4 3,3

Game 13
3,4 4,2
2,3 1,1

Game 14
3,4 4,2
1,3 2,1

Game 15
3,4 4,1
2,3 1,2

Game 16
3,4 4,1
1,3 2,2

Game 17
2,4 4,2
1,3 3,1

Game 18
2,4 4,1
1,3 3,2

Game 19
3,4 4,3
1,2 2,1

Game 20
3,4 4,3
2,2 1,1

Game 21
2,4 4,3
1,2 3,1

Game 22 (22-57 ... Class II: One player has a dominating strategy.)
4,4 3,3
2,1 1,2

Game 23
4,4 3,3
1,1 2,2

Game 24
4,4 3,2
2,1 1,3

Game 25
4,4 3,2
1,1 2,3

Game 26
4,4 2,3
3,1 1,2

Game 27
4,4 2,2
3,1 1,3

Game 28
4,4 3,1
2,2 1,3

Game 29
4,4 3,1
1,2 2,3

Game 30
4,4 2,1
3,2 1,3

Game 31
3,4 2,2
1,3 4,1

Game 32
3,4 2,1
1,3 4,2

Game 33
3,4 1,2
2,3 4,1

Game 34
3,4 1,1
2,3 4,2

Game 35
2,4 3,2
1,3 4,1

Game 36
2,4 3,1
1,3 4,2

Game 37
3,4 2,3
1,2 4,1

Game 38
3,4 1,3
2,2 4,1

Game 39
2,4 3,3
1,2 4,1

Game 40
3,4 4,1
2,2 1,3

Game 41
3,4 4,1
1,2 2,3

Game 42
3,3 4,1
2,2 1,4

Game 43
3,3 4,1
1,2 2,4

Game 44
2,4 4,1
1,2 3,3

Game 45
3,2 4,1
2,3 1,4

Game 46
3,2 4,1
1,3 2,4

Game 47
2,3 4,1
1,2 3,4

Game 48
2,2 4,1
1,3 3,4

Game 49
3,4 4,3
2,1 1,2

Game 50
3,4 4,3
1,1 2,2

Game 51
3,4 4,2
2,1 1,3

Game 52
3,4 4,2
1,1 2,3

Game 53
3,3 4,2
2,1 1,4

Game 54
3,3 4,2
1,1 2,4

Game 55
2,4 4,3
1,1 3,2

Game 56
2,4 4,2
1,1 3,3

Game 57
2,3 4,2
1,1 3,4

Game 58 (58-78 ... Class III: Neither player has a dominating strategy.)
4,4 2,3
1,1 3,2

Game 59
4,4 2,2
1,1 3,3

Game 60
4,4 2,1
1,2 3,3

Game 61
4,4 1,3
3,1 2,2

Game 62
4,4 1,2
3,1 2,3

Game 63
4,4 1,2
2,1 3,3

Game 64
3,4 2,1
1,2 4,3

Game 65
2,4 3,1
1,2 4,3

Game 66 *Chicken Game*
3,3 2,4
4,2 1,1

Game 67
2,3 3,4
4,2 1,1

Game 68
2,2 3,4
4,3 1,1

Game 69 *Battle of Sexes*
2,2 4,3
3,4 1,1

Game 70
3,4 2,1
4,2 1,3

Game 71
3,3 2,1
4,2 1,4

Game 72
3,2 2,1
4,3 1,4

Game 73
2,4 4,1
3,2 1,3

Game 74
2,4 3,1
4,2 1,3

Game 75
2,3 4,1
3,2 1,4

Game 76
2,3 3,1
4,2 1,4

Game 77
2,2 4,1
3,3 1,4

Game 78
2,2 3,1
4,3 1,4
